ats_id,id,source,permeability [m^2],logk_stdev [-],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],Rosetta porosity [-],Rosetta permeability [m^2],mukey,thickness [cm],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%]
1009,,NRCS,2.9126042061462673e-12,,0.3055110837438424,0.00015268712614316767,1.4808492206169348,0.17763278933075188,0.44992250019645263,1.0988372709876882e-12,545818.0,203.0,1.250022828307101,70.8475369458128,13.736514778325123,15.41594827586207
1010,,NRCS,2.906011753867952e-12,,0.31385975079687045,0.0001499878027299005,1.4705214973652248,0.18006358230691255,0.44936977705318787,1.020176280616884e-12,545819.0,203.0,1.255338316063643,69.87244277021153,14.111474934801507,16.01608229498696
1011,,NRCS,2.9126042061462673e-12,,0.3055110837438424,0.00015268712614316735,1.4808492206169348,0.17763278933075197,0.44992250019645263,1.0988372709876876e-12,545820.0,203.0,1.2500228283071009,70.8475369458128,13.736514778325123,15.41594827586207
1012,,NRCS,1.8676618888096252e-12,,0.423067477041409,0.00012746950103434526,1.404247292178291,0.19866389641961682,0.373985905258728,2.2872416678911736e-13,545829.0,203.00000000000003,1.5275659321186825,57.045565908269545,27.453894914029153,15.500539177701302
1013,,NRCS,1.586967320595735e-12,,0.42314947625345006,0.00012892621448264136,1.4044869449063149,0.1988276409644227,0.3746067949814548,2.3252301357466016e-13,545830.0,203.00000000000003,1.526749992999912,57.51942771839461,26.894939196910844,15.585633084694553
1014,,NRCS,1.5681514793119744e-12,,0.4217084895145806,0.00012927936853452242,1.401539780776145,0.20032275737304575,0.37458099168552067,2.2705216758395692e-13,545831.0,203.00000000000003,1.5295981612559784,57.56713473378503,26.5426429727257,15.89022229348927
1015,,NRCS,9.308050150297284e-13,,0.3788354056458189,0.0001240840197026426,1.4017812007017407,0.20409342286079518,0.42070344838052603,3.7963594192284736e-13,545835.0,203.0,1.3778641361115418,58.7365138348844,21.17775583248536,20.085730332630245
1016,,NRCS,8.624356790018523e-13,,0.4173557506878446,0.00011104322297545361,1.3582046007551212,0.22680128189499293,0.383729868724482,1.4560477196671974e-13,545836.0,203.0,1.5260526948710518,51.125050709939146,26.904747899159663,21.970201390901188
1017,,NRCS,1.0209803886240013e-12,,0.37152658759508383,0.00011709170892678943,1.3748967310790534,0.21617585516634985,0.38206257887302303,1.7698883312136095e-13,545837.0,203.00000000000003,1.5197766968701467,53.72357878680338,26.663748530795505,19.612672682401133
1018,,NRCS,1.032495864707888e-12,,0.3416613233622361,0.0001230390493659028,1.3689649095286687,0.2186480336363845,0.380960333886577,1.7480969744304017e-13,545838.0,203.00000000000003,1.5328885250651985,55.30399560885362,24.584165124935918,20.111839266210463
1019,,NRCS,9.95289229724666e-13,,0.38694581280788176,0.0001419259459057482,1.4348375681513639,0.19327791446366444,0.4122193925114383,4.783588463479634e-13,545842.0,203.0,1.4,64.41576354679803,18.601477832512316,16.982758620689655
1020,,NRCS,9.952892297246659e-13,,0.38798029556650243,0.0001182413708046515,1.4092716489171206,0.20056510255363058,0.4096547632113566,3.3886675989759553e-13,545843.0,203.0,1.4,56.98275862068966,24.706896551724135,18.310344827586206
1021,,NRCS,2.0782442910276126e-12,,0.466882063331436,0.0001219559429899233,1.457946852013674,0.17703159278829103,0.3960178467279309,4.559354763250881e-13,545853.0,203.00000000000003,1.4028533855705763,58.82195076525096,29.044860136572435,12.13318909817661
1022,,NRCS,2.103006648605413e-12,,0.467109593771068,0.00012186123000324806,1.4580963769009885,0.17696581736582945,0.39612234413790326,4.569603029894452e-13,545854.0,203.0,1.4022504299055514,58.81190150416721,29.064958658739926,12.123139837092866
1023,,NRCS,6.23836810482595e-12,,0.2355549116198203,0.0002471319791421285,1.9284270676766264,0.14958178369842406,0.38470333434694337,2.349139427725268e-12,545855.0,203.0,1.4742973051289479,84.85722978846711,9.099159663865546,6.043610547667343
1024,,NRCS,4.981052558064048e-15,,0.40555555555555556,0.0001471985639035005,1.484106310892321,0.1754706556032061,0.4165979284028835,7.390878016597241e-13,545857.0,202.99999999999997,1.35,67.4,19.6,13.0
1025,,NRCS,1.3086527795516795e-12,,0.26871297208538586,0.00011951606764081537,1.396307450580691,0.20437854334758457,0.38099807932016116,2.1678803631645432e-13,545859.0,203.00000000000003,1.5059024630541873,55.09741304672338,27.811815196297957,17.090771756978654
1026,,NRCS,1.0797107278037306e-12,,0.28801067816679454,0.0001106850754544511,1.3887706386818914,0.21014017038997274,0.3853747956263292,1.965019932158144e-13,545860.0,203.00000000000003,1.4925288901767604,52.43471564383328,29.038206858500974,18.527077497665736
1027,,NRCS,1.9687213391828053e-12,,0.3099014778325123,0.00011695773196565981,1.4044236967460701,0.20226354002852726,0.3938815435721318,2.6440348298945355e-13,545861.0,203.0,1.4551724137931035,55.47635467980295,26.989162561576357,17.53448275862069
1028,,NRCS,1.5159683022619642e-12,,0.263535960591133,0.00012671141349430748,1.4037590644962517,0.19967281115206192,0.3769284628394445,2.3332763486534435e-13,545863.0,203.00000000000003,1.5182226600985225,57.06635467980295,27.034187192118228,15.899458128078818
1029,,NRCS,1.0048305310983517e-12,,0.36690625905534624,0.00013363110688648902,1.3968332001251478,0.20782404443349997,0.40272671912571206,3.04709799517124e-13,545874.0,203.0,1.4529134453781511,60.36615850478122,19.989637641263403,19.644203853955375
