# Observation File: surface_free_ion_species_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
9.849600000000e+06 1.564407373340e-08 1.449620155090e-03 7.925152439551e-04 6.571240285644e-04
9.936000000000e+06 1.551654679696e-08 1.439554252800e-03 7.948316092970e-04 6.447766765298e-04
1.002240000000e+07 1.537715630331e-08 1.429033971907e-03 7.968780688072e-04 6.322172194524e-04
1.010880000000e+07 1.528288423408e-08 1.421802983379e-03 8.004014827609e-04 6.215882998884e-04
1.019520000000e+07 1.531782768812e-08 1.423515693217e-03 8.070055499556e-04 6.170958575343e-04
1.028160000000e+07 1.531725701952e-08 1.421833933060e-03 8.107416043801e-04 6.119136597252e-04
1.036800000000e+07 1.530842519123e-08 1.420514154467e-03 8.147189985866e-04 6.068382441480e-04
1.045440000000e+07 1.527729400992e-08 1.417811259525e-03 8.188392362044e-04 6.002229045732e-04
1.054080000000e+07 1.518063867413e-08 1.409957878180e-03 8.206796119165e-04 5.905757869311e-04
1.062720000000e+07 1.505159457630e-08 1.400096176027e-03 8.214361022028e-04 5.799192895841e-04
1.071360000000e+07 1.490984380198e-08 1.389535418525e-03 8.217590042653e-04 5.689658702446e-04
1.080000000000e+07 1.477021585521e-08 1.379226584030e-03 8.221670834982e-04 5.581886481662e-04
1.088640000000e+07 1.630693104796e-08 1.561834934388e-03 9.322925351156e-04 6.364298353196e-04
1.097280000000e+07 1.631635311306e-08 1.560838868439e-03 9.335578552681e-04 6.342809912587e-04
1.105920000000e+07 1.626626086601e-08 1.555656944047e-03 9.338413280529e-04 6.288048898990e-04
1.114560000000e+07 1.619922498463e-08 1.549411568118e-03 9.337641428787e-04 6.225854103284e-04
1.123200000000e+07 1.613545191258e-08 1.543622029518e-03 9.335896105996e-04 6.169147439395e-04
1.131840000000e+07 1.608247869652e-08 1.538885584511e-03 9.333973630852e-04 6.123216777135e-04
1.140480000000e+07 1.604093631069e-08 1.535246428995e-03 9.331997139668e-04 6.088388067744e-04
1.149120000000e+07 1.601557628712e-08 1.533073190451e-03 9.330506408792e-04 6.067874451330e-04
1.157760000000e+07 1.604646031669e-08 1.535604260523e-03 9.333160736651e-04 6.090953278405e-04
1.166400000000e+07 1.610957477341e-08 1.540822961806e-03 9.338172539948e-04 6.138953362681e-04
1.175040000000e+07 1.616966909000e-08 1.545787805046e-03 9.342926023209e-04 6.184643168848e-04
1.183680000000e+07 1.621289254522e-08 1.549354409031e-03 9.346351000584e-04 6.217464159045e-04
1.192320000000e+07 1.623737622665e-08 1.551371066765e-03 9.348307068254e-04 6.236008052117e-04
1.200960000000e+07 1.624345349675e-08 1.551870007099e-03 9.348803449464e-04 6.240585493940e-04
1.209600000000e+07 1.624020096523e-08 1.551589640873e-03 9.348626862443e-04 6.237924419732e-04
1.218240000000e+07 1.622562442960e-08 1.550376536169e-03 9.347547265165e-04 6.226685009856e-04
1.226880000000e+07 1.620470308553e-08 1.548640512308e-03 9.345961765961e-04 6.210637521565e-04
1.235520000000e+07 1.617989244162e-08 1.546584377564e-03 9.344060109038e-04 6.191654035122e-04
1.244160000000e+07 1.615300454035e-08 1.544357947413e-03 9.341981757376e-04 6.171117850935e-04
1.252800000000e+07 1.612536949193e-08 1.542071052131e-03 9.339830570388e-04 6.150041308603e-04
1.261440000000e+07 1.609800311480e-08 1.539807468151e-03 9.337687242034e-04 6.129194930404e-04
1.270080000000e+07 1.607157327950e-08 1.537622188085e-03 9.335606012744e-04 6.109083069247e-04
1.278720000000e+07 1.604607732322e-08 1.535514783658e-03 9.333588554031e-04 6.089699660972e-04
1.287360000000e+07 1.602154019679e-08 1.533487159382e-03 9.331638419360e-04 6.071060411918e-04
1.296000000000e+07 1.599796436657e-08 1.531539421291e-03 9.329757028022e-04 6.053164859450e-04
1.304640000000e+07 1.224863601992e-08 1.266190814704e-03 7.720154813118e-04 4.901710845598e-04
1.313280000000e+07 1.233551397101e-08 1.270679159382e-03 7.755685380346e-04 4.913446824208e-04
1.321920000000e+07 1.244495249673e-08 1.276553414639e-03 7.800141901279e-04 4.930685972130e-04
1.330560000000e+07 1.253377012720e-08 1.280697617984e-03 7.834457969664e-04 4.940296026450e-04
1.339200000000e+07 1.260509690961e-08 1.283915162692e-03 7.863875432987e-04 4.945189808177e-04
1.347840000000e+07 1.265708444013e-08 1.285992294943e-03 7.887510747180e-04 4.944076297038e-04
1.356480000000e+07 1.268896455190e-08 1.286877523406e-03 7.905349272799e-04 4.936445914532e-04
1.365120000000e+07 1.270483930015e-08 1.286813335536e-03 7.918943300128e-04 4.923268903398e-04
1.373760000000e+07 1.270955766083e-08 1.286072485056e-03 7.929845487203e-04 4.905827371757e-04
1.382400000000e+07 1.270674099941e-08 1.284858073113e-03 7.939094877378e-04 4.885188010349e-04
1.391040000000e+07 1.269871899210e-08 1.283304271529e-03 7.947305159560e-04 4.862123372182e-04
1.399680000000e+07 1.268701147247e-08 1.281501621976e-03 7.954845718082e-04 4.837196341956e-04
1.408320000000e+07 1.267268090992e-08 1.279515705669e-03 7.961974827613e-04 4.810822665050e-04
1.416960000000e+07 1.265662100155e-08 1.277401709874e-03 7.968926557616e-04 4.783336301681e-04
1.425600000000e+07 1.263975220148e-08 1.275215303703e-03 7.975973722363e-04 4.755039640459e-04
1.434240000000e+07 1.262185591002e-08 1.272941541017e-03 7.982967126886e-04 4.725924143946e-04
1.442880000000e+07 1.260545181717e-08 1.270738120814e-03 7.990877575819e-04 4.696656332639e-04
1.451520000000e+07 1.259449383339e-08 1.268830713638e-03 8.001159507737e-04 4.668134172013e-04
1.460160000000e+07 1.259355457729e-08 1.267473386524e-03 8.015517387103e-04 4.641307036613e-04
1.468800000000e+07 1.260372568493e-08 1.266703127548e-03 8.034326092775e-04 4.616200847659e-04
1.477440000000e+07 1.262852944799e-08 1.266729952663e-03 8.059129693251e-04 4.593468433051e-04
1.486080000000e+07 1.269421238575e-08 1.269149722492e-03 8.100695310742e-04 4.578978322759e-04
1.494720000000e+07 1.275016926809e-08 1.270645010767e-03 8.137976898725e-04 4.559352611168e-04
1.503360000000e+07 1.275707560647e-08 1.269114034068e-03 8.156938673117e-04 4.526624942992e-04
1.512000000000e+07 1.274380092771e-08 1.266634922339e-03 8.170274919179e-04 4.489591225363e-04
